file,type,smells,frame,"{""message"":""An error occurred while trying to parse local files""}"
/home/gabriel/Desktop/research/projects/prettier/tests/format/js/test-declarations/test_declarations.js,Unknown Test,"{'column': 0, 'line': 149}","  147 | }, 2500)
  148 |
> 149 | it(""does something quick"", () => {
  150 |   console.log(""hello!"")
  151 | }, 1000000000)
  152 |",
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/version-check.test.js,Lazy Test,"{'line': 7, 'column': 20, 'index': 268}","   5 | describe(""isVersionReleased"", () => {
   6 |   it(""returns true for existing version"", async () => {
>  7 |     assert.ok(await isVersionReleased(""1.0.0""));
     |                    ^ Lazy Test
   8 |   });
   9 |   it(""rejects for non-existing version"", async () => {
  10 |     await assert.rejects(() => isVersionReleased(""999.0.0""), {",
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/version-check.test.js,Lazy Test,"{'line': 10, 'column': 31, 'index': 389}","   8 |   });
   9 |   it(""rejects for non-existing version"", async () => {
> 10 |     await assert.rejects(() => isVersionReleased(""999.0.0""), {
     |                               ^ Lazy Test
  11 |       message: ""prettier@999.0.0 doesn't exit."",
  12 |     });
  13 |   });",
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/version-check.test.js,Unknown Test,"{'column': 2, 'line': 9}","   7 |     assert.ok(await isVersionReleased(""1.0.0""));
   8 |   });
>  9 |   it(""rejects for non-existing version"", async () => {
     |  ^ Unknown Test
  10 |     await assert.rejects(() => isVersionReleased(""999.0.0""), {
  11 |       message: ""prettier@999.0.0 doesn't exit."",
  12 |     });",
/home/gabriel/Desktop/research/projects/prettier/scripts/release/tests/publish-to-npm.test.js,Assertion Roulette,"{'column': 6, 'line': 25}","  23 |       const expectedTag = ""2.3.1"";
  24 |       const expectedTitle = ""2.3.1"";
> 25 |       assert.equal(new URLSearchParams(result).get(""tag""), expectedTag);
     |      ^ Assertion Roulette
  26 |       assert.equal(new URLSearchParams(result).get(""title""), expectedTitle);
  27 |       });
  28 |",
