file,type,smells,frame,itCount,describeCount
> 628 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
      |        ^ Duplicate Assert
  629 |       });
  630 |
  631 |       it('returns expected value', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 661, 'column': 8, 'index': 15987}","  659 |
  660 |       it('triggers redis.scan', () => {
> 661 |         expect(mockScan).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  662 |           '0',
  663 |           'MATCH',
  664 |           'prefix:key*',",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 669, 'column': 8, 'index': 16139}","  667 |         );
  668 |
> 669 |         expect(mockScan).toHaveBeenCalledWith(
      |        ^ Duplicate Assert
  670 |           '1',
  671 |           'MATCH',
  672 |           'prefix:key*',",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 683, 'column': 8, 'index': 16448}","  681 |
  682 |       it('triggers redis.del', () => {
> 683 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
      |        ^ Duplicate Assert
  684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
  685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
  686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 684, 'column': 8, 'index': 16509}","  682 |       it('triggers redis.del', () => {
  683 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
> 684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
      |        ^ Duplicate Assert
  685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
  686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');
  687 |       });",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 685, 'column': 8, 'index': 16570}","  683 |         expect(mockDel).toHaveBeenCalledWith('prefix:key1');
  684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
> 685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
      |        ^ Duplicate Assert
  686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');
  687 |       });
  688 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Duplicate Assert,"{'line': 686, 'column': 8, 'index': 16631}","  684 |         expect(mockDel).toHaveBeenCalledWith('prefix:key2');
  685 |         expect(mockDel).toHaveBeenCalledWith('prefix:key3');
> 686 |         expect(mockDel).toHaveBeenCalledWith('prefix:key4');
      |        ^ Duplicate Assert
  687 |       });
  688 |
  689 |       it('returns expected value', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 77, 'column': 64, 'index': 1712}","  75 |
  76 |       it('triggers lock', () => {
> 77 |         expect(mockLock).toHaveBeenCalledWith('redlock:my-key', 1000);
     |                                                                ^ Magic Number
  78 |       });
  79 |
  80 |       it('does not trigger setex', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 103, 'column': 64, 'index': 2370}","  101 |
  102 |       it('triggers lock', () => {
> 103 |         expect(mockLock).toHaveBeenCalledWith('redlock:my-key', 1000);
      |                                                                ^ Magic Number
  104 |       });
  105 |
  106 |       it('triggers setex', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 107, 'column': 57, 'index': 2480}","  105 |
  106 |       it('triggers setex', () => {
> 107 |         expect(mockSetEx).toHaveBeenCalledWith('my-key', 3600, 'my-value');
      |                                                         ^ Magic Number
  108 |       });
  109 |
  110 |       it('does not trigger set', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 150, 'column': 62, 'index': 3436}","  148 |
  149 |     it('triggers lock', () => {
> 150 |       expect(mockLock).toHaveBeenCalledWith('redlock:my-key', 1000);
      |                                                              ^ Magic Number
  151 |     });
  152 |
  153 |     it('triggers get', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 231, 'column': 62, 'index': 5170}","  229 |
  230 |     it('triggers lock', () => {
> 231 |       expect(mockLock).toHaveBeenCalledWith('redlock:my-key', 1000);
      |                                                              ^ Magic Number
  232 |     });
  233 |
  234 |     it('triggers del', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 273, 'column': 73, 'index': 6205}","  271 |
  272 |       it('triggers lock', () => {
> 273 |         expect(mockLock).toHaveBeenCalledWith('redlock:my-key:my-field', 1000);
      |                                                                         ^ Magic Number
  274 |       });
  275 |
  276 |       it('triggers set', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 314, 'column': 73, 'index': 7257}","  312 |
  313 |       it('triggers lock', () => {
> 314 |         expect(mockLock).toHaveBeenCalledWith('redlock:my-key:my-field', 1000);
      |                                                                         ^ Magic Number
  315 |       });
  316 |
  317 |       it('triggers setex', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 320, 'column': 10, 'index': 7397}","  318 |         expect(mockSetEx).toHaveBeenCalledWith(
  319 |           'my-key:my-field',
> 320 |           3600,
      |          ^ Magic Number
  321 |           'my-value'
  322 |         );
  323 |       });",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 360, 'column': 71, 'index': 8299}","  358 |
  359 |     it('triggers lock', () => {
> 360 |       expect(mockLock).toHaveBeenCalledWith('redlock:my-key:my-field', 1000);
      |                                                                       ^ Magic Number
  361 |     });
  362 |
  363 |     it('triggers get', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 424, 'column': 10, 'index': 9873}","  422 |           'prefix:key*',
  423 |           'COUNT',
> 424 |           1000
      |          ^ Magic Number
  425 |         );
  426 |       });
  427 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 475, 'column': 10, 'index': 11256}","  473 |           'prefix:key*',
  474 |           'COUNT',
> 475 |           1000
      |          ^ Magic Number
  476 |         );
  477 |
  478 |         expect(mockScan).toHaveBeenCalledWith(",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 483, 'column': 10, 'index': 11408}","  481 |           'prefix:key*',
  482 |           'COUNT',
> 483 |           1000
      |          ^ Magic Number
  484 |         );
  485 |       });
  486 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 530, 'column': 10, 'index': 12758}","  528 |           'prefix:key*',
  529 |           'COUNT',
> 530 |           1000
      |          ^ Magic Number
  531 |         );
  532 |       });
  533 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 569, 'column': 71, 'index': 13665}","  567 |
  568 |     it('triggers lock', () => {
> 569 |       expect(mockLock).toHaveBeenCalledWith('redlock:my-key:my-field', 1000);
      |                                                                       ^ Magic Number
  570 |     });
  571 |
  572 |     it('triggers del', () => {",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 618, 'column': 10, 'index': 14847}","  616 |           'prefix:key*',
  617 |           'COUNT',
> 618 |           1000
      |          ^ Magic Number
  619 |         );
  620 |       });
  621 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 666, 'column': 10, 'index': 16114}","  664 |           'prefix:key*',
  665 |           'COUNT',
> 666 |           1000
      |          ^ Magic Number
  667 |         );
  668 |
  669 |         expect(mockScan).toHaveBeenCalledWith(",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 674, 'column': 10, 'index': 16266}","  672 |           'prefix:key*',
  673 |           'COUNT',
> 674 |           1000
      |          ^ Magic Number
  675 |         );
  676 |       });
  677 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/cache.test.js,Magic Number,"{'line': 716, 'column': 10, 'index': 17426}","  714 |           'prefix:key*',
  715 |           'COUNT',
> 716 |           1000
      |          ^ Magic Number
  717 |         );
  718 |       });
  719 |",,
/home/gabriel/Desktop/research/projects/binance-trading-bot/app/helpers/__tests__/binance.test.js,Conditional Test Logic,"{'line': 21, 'column': 8, 'index': 518}","  19 |     beforeEach(() => {
