Name,JavaScript Percentage,Test Framework,License,Open Source
luci,45.77%,no framework test,Apache License 2.0,Yes
htmx,91.34%,mocha,Other,No
next-seo,52.32%,jest,MIT License,Yes
valetudo,66.54%,no framework test,Apache License 2.0,Yes
module-federation-examples,64.67%,jest,MIT License,Yes
create-react-app,98.35%,jest,MIT License,Yes
next.js,59.04%,jest,MIT License,Yes
lodash,97.22%,no framework test,Other,No
serverless,98.54%,mocha,MIT License,Yes
pdf.js,70.41%,jasmine,Apache License 2.0,Yes
ember.js,60.09%,mocha,MIT License,Yes
hiring-without-whiteboards,100.00%,no framework test,MIT License,Yes
mostly-adequate-guide,98.47%,no framework test,Other,No
sharp,76.34%,mocha,Apache License 2.0,Yes
eslint,99.47%,mocha,MIT License,Yes
fastify,91.11%,no framework test,Other,No
svgo,100.00%,jest,MIT License,Yes
jsdom,75.30%,mocha,MIT License,Yes
amphtml,79.94%,mocha,Apache License 2.0,Yes
iosevka,99.45%,no framework test,SIL Open Font License 1.1,Yes
node-red,99.75%,mocha,Apache License 2.0,Yes
testcafe,73.77%,no framework test,MIT License,Yes
eleventy,97.65%,ava,MIT License,Yes
stylelint,98.99%,jest,MIT License,Yes
chakracore,52.78%,no framework test,MIT License,Yes
gutenberg,61.96%,jest,Other,No
violentmonkey,68.08%,jest,MIT License,Yes
ios_rule_script,97.49%,no framework test,GNU General Public License v2.0,Yes
register,100.00%,ava,GNU General Public License v3.0,Yes
react,69.10%,jest,MIT License,Yes
parcel,84.13%,mocha,MIT License,Yes
uni-app,83.29%,jest,Apache License 2.0,Yes
preact,96.95%,mocha,MIT License,Yes
parse-server,99.15%,jasmine,Apache License 2.0,Yes
quasar,88.11%,no framework test,MIT License,Yes
docsify,87.06%,jest,MIT License,Yes
web-dev-for-beginners,71.00%,no framework test,MIT License,Yes
shields,99.85%,mocha,Creative Commons Zero v1.0 Universal,Yes
netron,96.09%,no framework test,MIT License,Yes
nodebb,87.49%,no framework test,GNU General Public License v3.0,Yes
uglifyjs,98.70%,no framework test,Other,No
trilium,98.45%,jasmine,GNU Affero General Public License v3.0,Yes
grommet,72.41%,jest,Apache License 2.0,Yes
freetube,62.84%,no framework test,GNU Affero General Public License v3.0,Yes
hexo-theme-fluid,41.47%,no framework test,GNU General Public License v3.0,Yes
mineflayer,100.00%,mocha,MIT License,Yes
undici,96.55%,jest,MIT License,Yes
venom,53.51%,no framework test,Apache License 2.0,Yes
userscript,100.00%,no framework test,GNU General Public License v3.0,Yes
bootstrap,37.45%,jasmine,MIT License,Yes
simple-icons,99.76%,mocha,Creative Commons Zero v1.0 Universal,Yes
popcorn-desktop,67.33%,no framework test,Other,No
webpack,97.65%,jest,MIT License,Yes
gatsby,58.99%,jest,MIT License,Yes
howtheysre,100.00%,no framework test,Creative Commons Zero v1.0 Universal,Yes
prettier,82.68%,jest,MIT License,Yes
three.js,64.24%,no framework test,MIT License,Yes
chart.js,89.16%,jasmine,MIT License,Yes
rawgraphs-app,76.17%,no framework test,Apache License 2.0,Yes
react-grid-layout,97.47%,jest,MIT License,Yes
react-draggable,94.87%,no framework test,MIT License,Yes
gogocode,76.00%,jest,MIT License,Yes
kit,99.56%,no framework test,MIT License,Yes
sharedrop,62.15%,no framework test,MIT License,Yes
ipfs-desktop,96.51%,no framework test,MIT License,Yes
filestash,48.23%,no framework test,GNU Affero General Public License v3.0,Yes
ferry,95.37%,no framework test,MIT License,Yes
administrate,70.36%,no framework test,MIT License,Yes
mailcow-dockerized,34.11%,no framework test,GNU General Public License v3.0,Yes
jsdelivr,100.00%,no framework test,MIT License,Yes
webhook.site,95.94%,no framework test,Other,No
choices,68.75%,no framework test,MIT License,Yes
zx,68.58%,no framework test,Apache License 2.0,Yes
boring-avatars,98.11%,jest,MIT License,Yes
openclash,31.97%,no framework test,MIT License,Yes
tooljet,65.31%,no framework test,GNU Affero General Public License v3.0,Yes
betterdiscord,56.67%,no framework test,Apache License 2.0,Yes
overleaf,65.18%,no framework test,GNU Affero General Public License v3.0,Yes
ckeditor5,38.13%,no framework test,Other,No
uptime-kuma,55.13%,no framework test,MIT License,Yes
eslint-plugin-import,99.12%,mocha,MIT License,Yes
awesome-vite,100.00%,no framework test,MIT License,Yes
script,98.14%,no framework test,GNU General Public License v3.0,Yes
beautiful-react-hooks,51.13%,mocha,MIT License,Yes
audiobookshelf,67.12%,mocha,GNU General Public License v3.0,Yes
apidoc,83.46%,mocha,Other,No
server,97.98%,jest,GNU Lesser General Public License v3.0,Yes
jspdf,96.49%,jasmine,MIT License,Yes
liferestart,99.79%,no framework test,MIT License,Yes
rabbitmq-server,50.85%,no framework test,Other,No
win11react,73.62%,no framework test,Creative Commons Zero v1.0 Universal,Yes
mind-map,70.18%,no framework test,MIT License,Yes
metalsmith,93.26%,mocha,MIT License,Yes
mall4cloud,35.37%,no framework test,GNU Affero General Public License v3.0,Yes
debug,100.00%,mocha,MIT License,Yes
iringo,0.00%,no framework test,Apache License 2.0,Yes
dexie.js,49.99%,no framework test,Apache License 2.0,Yes
notionnext,95.94%,no framework test,MIT License,Yes
leetcode,16.01%,no framework test,MIT License,Yes
cider,81.26%,no framework test,GNU Affero General Public License v3.0,Yes
daedalos,88.78%,jest,MIT License,Yes
v2.vuejs.org,73.64%,no framework test,MIT License,Yes
nginx-proxy-manager,72.15%,no framework test,MIT License,Yes
node-config,97.78%,no framework test,Other,No
github-chinese,99.88%,no framework test,GNU General Public License v3.0,Yes
spicetify-cli,72.08%,no framework test,GNU Lesser General Public License v2.1,Yes
shaka-player,97.14%,no framework test,Apache License 2.0,Yes
alasql,94.41%,mocha,MIT License,Yes
ai-deadlines,66.22%,no framework test,MIT License,Yes
eslint-plugin-react,100.00%,mocha,MIT License,Yes
x-ui,86.22%,no framework test,GNU General Public License v3.0,Yes
layui,83.39%,no framework test,MIT License,Yes
codemirror5,77.76%,no framework test,MIT License,Yes
dev,100.00%,no framework test,Other,No
sub-store,99.95%,no framework test,GNU Affero General Public License v3.0,Yes
quicklink,92.27%,no framework test,Apache License 2.0,Yes
spacegray,89.56%,no framework test,MIT License,Yes
tagui,31.93%,no framework test,Apache License 2.0,Yes
joi,97.54%,no framework test,Other,No
fay,32.60%,no framework test,GNU General Public License v3.0,Yes
icons,85.48%,no framework test,MIT License,Yes
tape,99.83%,no framework test,MIT License,Yes
shapez.io,88.83%,no framework test,GNU General Public License v3.0,Yes
luckysheet,90.86%,no framework test,MIT License,Yes
windmill,6.24%,no framework test,Other,No
bruno,94.04%,jest,MIT License,Yes
superagent,88.31%,mocha,MIT License,Yes
dejavu,99.35%,jest,MIT License,Yes
supertest,100.00%,mocha,MIT License,Yes
trix,97.25%,no framework test,MIT License,Yes
webvm,44.04%,no framework test,Apache License 2.0,Yes
preguntas-entrevista-react,72.34%,no framework test,MIT License,Yes
easyspider,47.74%,no framework test,GNU Affero General Public License v3.0,Yes
edgetunnel,100.00%,no framework test,GNU General Public License v2.0,Yes
wechat-bot,96.74%,no framework test,MIT License,Yes
bootbox,99.16%,mocha,Other,No
pt-plugin-plus,37.88%,no framework test,MIT License,Yes
nopecha-extension,61.38%,no framework test,MIT License,Yes
ava,90.44%,no framework test,MIT License,Yes
decap-cms,67.19%,jest,MIT License,Yes
ohm,96.30%,no framework test,MIT License,Yes
gpt-ai-assistant,99.91%,jest,MIT License,Yes
postcat,75.77%,no framework test,Apache License 2.0,Yes
bilibili-api-collect,77.88%,no framework test,Other,No
opencommit,98.39%,jest,MIT License,Yes
chardin.js,61.74%,no framework test,Other,No
automatisch,99.60%,no framework test,Other,No
betterfox,93.94%,no framework test,MIT License,Yes
layer,64.47%,no framework test,MIT License,Yes
pairdrop,70.30%,no framework test,GNU General Public License v3.0,Yes
chatgptbox,88.47%,no framework test,MIT License,Yes
keepchatgpt,76.81%,no framework test,GNU General Public License v2.0,Yes
one-api,61.70%,no framework test,MIT License,Yes
defi-developer-road-map,100.00%,no framework test,Other,No
idurar-erp-crm,94.00%,no framework test,GNU Affero General Public License v3.0,Yes
hotkeys-js,92.92%,jest,MIT License,Yes
taskbook,100.00%,no framework test,MIT License,Yes
anything-llm,97.55%,no framework test,MIT License,Yes
wenda,85.34%,no framework test,GNU Affero General Public License v3.0,Yes
orbitdb,97.66%,mocha,MIT License,Yes
fetch,99.47%,mocha,MIT License,Yes
transformers.js,96.17%,jest,Apache License 2.0,Yes
baileys,90.90%,jest,MIT License,Yes
win12,34.77%,no framework test,Eclipse Public License 2.0,Yes
apihub,99.61%,jest,Other,No
easydiffusion,73.95%,no framework test,Other,No
label-studio,41.70%,no framework test,Apache License 2.0,Yes
langflow,29.30%,no framework test,MIT License,Yes
d2,65.56%,no framework test,Mozilla Public License 2.0,Yes
RealChar,37.57%,no framework test,MIT License,Yes
ChatALL,59.45%,no framework test,Apache License 2.0,Yes
pot-desktop,86.92%,no framework test,GNU General Public License v3.0,Yes
SillyTavern,84.14%,no framework test,GNU Affero General Public License v3.0,Yes
3x-ui,74.68%,no framework test,GNU General Public License v3.0,Yes
meshery,57.90%,no framework test,Apache License 2.0,Yes
node,61.18%,no framework test,Other,No
LiteLoaderQQNT,70.04%,no framework test,MIT License,Yes
node-fluent-ffmpeg,96.42%,mocha,MIT License,Yes
Metro-UI-CSS,46.26%,no framework test,MIT License,Yes
bowser,100.00%,ava,Other,No
ChatGPT-AutoExpert,81.14%,no framework test,Other,No
serverless-express,99.75%,jest,Apache License 2.0,Yes
lint-staged,99.44%,jest,MIT License,Yes
clappr,78.24%,no framework test,"BSD 3-Clause ""New"" or ""Revised"" License",Yes
hexo-theme-butterfly,38.98%,no framework test,Apache License 2.0,Yes
codecombat,85.24%,jasmine,MIT License,Yes
MagicMirror,88.64%,jest,MIT License,Yes
js-beautify,42.74%,mocha,MIT License,Yes
nue,73.55%,no framework test,MIT License,Yes
RemoveAdblockThing,100.00%,no framework test,MIT License,Yes
koodo-reader,78.97%,no framework test,GNU Affero General Public License v3.0,Yes
30-seconds-of-code,62.19%,no framework test,Creative Commons Attribution 4.0 International,Yes
live,92.06%,no framework test,GNU General Public License v3.0,Yes
homepage,98.07%,no framework test,GNU General Public License v3.0,Yes
shepherd,49.75%,no framework test,Other,No
stylex,98.52%,jest,MIT License,Yes
dots-hyprland,66.70%,no framework test,GNU General Public License v3.0,Yes
reor,58.36%,jest,GNU Affero General Public License v3.0,Yes
edgetunnel,100.00%,no framework test,GNU General Public License v2.0,Yes
OpenChat,59.82%,no framework test,MIT License,Yes
BPB-Worker-Panel,100.00%,no framework test,GNU General Public License v3.0,Yes
curriculum,100.00%,no framework test,Other,No
llrt,45.47%,no framework test,Apache License 2.0,Yes
signale,72.88%,no framework test,MIT License,Yes
tape,99.83%,no framework test,MIT License,Yes
TW-Elements,98.49%,no framework test,MIT License,Yes
puter,96.07%,mocha,GNU Affero General Public License v3.0,Yes
chatgpt-web-midjourney-proxy,38.42%,no framework test,MIT License,Yes
cryptpad,83.78%,no framework test,GNU Affero General Public License v3.0,Yes
drawdb,98.76%,no framework test,GNU Affero General Public License v3.0,Yes
cobalt,42.22%,no framework test,GNU Affero General Public License v3.0,Yes
cli,72.08%,no framework test,GNU Lesser General Public License v2.1,Yes
polyfill-service,95.25%,no framework test,MIT License,Yes
desktop,56.40%,no framework test,Mozilla Public License 2.0,Yes
TiddlyWiki5,96.68%,no framework test,Other,No
MindSearch,74.62%,no framework test,Apache License 2.0,Yes
react-bits,53.97%,no framework test,Other,No
css.gg,100.00%,no framework test,Other,No
snapdrop,64.22%,no framework test,GNU General Public License v3.0,Yes
ChatALL,59.45%,no framework test,Apache License 2.0,Yes
transformers.js,96.17%,jest,Apache License 2.0,Yes
2048,38.13%,no framework test,MIT License,Yes
sharedrop,62.15%,no framework test,MIT License,Yes
servers,45.69%,no framework test,MIT License,Yes
art-template,90.94%,mocha,MIT License,Yes
open-webui,39.19%,cypress,"BSD 3-Clause ""New"" or ""Revised"" License",Yes
metroui,46.26%,no framework test,MIT License,Yes
rust-by-example,89.38%,no framework test,Apache License 2.0,Yes
awesome-chatgpt-prompts,49.66%,no framework test,Creative Commons Zero v1.0 Universal,Yes
