SmellNumber,Orig_TestCases,Orig_Smells,Orig_SLOC_Physical,Orig_SLOC_Logical,Orig_Cyclomatic,Orig_CyclomaticDensity,Orig_Halstead_Bugs,Orig_Halstead_Difficulty,Orig_Halstead_Effort,Orig_Halstead_Length,Orig_Halstead_Time,Orig_Halstead_Vocabulary,Orig_Halstead_Volume,Orig_Maintainability,Refac_TestCases,Refac_Smells,Refac_SLOC_Physical,Refac_SLOC_Logical,Refac_Cyclomatic,Refac_CyclomaticDensity,Refac_Halstead_Bugs,Refac_Halstead_Difficulty,Refac_Halstead_Effort,Refac_Halstead_Length,Refac_Halstead_Time,Refac_Halstead_Vocabulary,Refac_Halstead_Volume,Refac_Maintainability
131,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4313,5524,730,13.215,67.108,65.741,13235293.802,18073,735294.1,2256,201325.112,104.194
130,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4313,5524,730,13.215,67.108,65.741,13235293.802,18073,735294.1,2256,201325.112,104.194
13,0,0,838,959,142,14.807,6.931,83.916,1744858.374,2758,96936.576,186,20793,106.657,0,0,833,958,142,14.823,6.928,82.679,1718281.791,2751,95460.1,188,20782.674,106.727
129,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4313,5524,730,13.215,67.108,65.741,13235293.802,18073,735294.1,2256,201325.112,104.194
128,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4325,5535,733,13.243,67.261,65.851,13287489.664,18113,738193.87,2257,201782.274,104.202
127,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4320,5530,732,13.237,67.216,65.845,13277602.302,18102,737644.572,2256,201648.159,104.192
126,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4317,5529,731,13.221,67.123,65.725,13235107.779,18076,735283.765,2257,201370.087,104.236
125,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4301,5508,731,13.272,66.852,65.461,13128590.362,18003,729366.131,2257,200556.853,104.296
124,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4304,5510,732,13.285,66.867,65.54,13147461.137,18009,730414.508,2255,200600.661,104.313
123,0,0,167,168,36,21.429,1.245,25.636,95774.883,532,5320.827,130,3735.9,115.991,0,0,186,184,41,22.283,1.38,29.885,123721.838,585,6873.435,135,4139.937,114.8
122,0,0,167,168,36,21.429,1.245,25.636,95774.883,532,5320.827,130,3735.9,115.991,0,0,177,180,41,22.778,1.347,28.062,113420.862,572,6301.159,134,4041.803,115.454
121,0,0,167,168,36,21.429,1.245,25.636,95774.883,532,5320.827,130,3735.9,115.991,0,0,169,171,36,21.053,1.275,25.714,98359.869,543,5464.437,132,3825.106,115.613
120,0,0,167,168,36,21.429,1.245,25.636,95774.883,532,5320.827,130,3735.9,115.991,0,0,169,171,36,21.053,1.275,25.714,98359.869,543,5464.437,132,3825.106,115.613
12,0,0,229,203,25,12.315,1.486,27.417,122236.711,639,6790.928,126,4458.482,106.3,0,0,232,207,26,12.56,1.514,27.661,125652.063,650,6980.67,127,4542.645,106.728
119,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4314,5520,730,13.225,67.023,65.591,13188438.523,18048,732691.029,2258,201069.696,104.218
118,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4314,5520,730,13.225,67.023,65.591,13188438.523,18048,732691.029,2258,201069.696,104.218
117,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4313,5525,730,13.213,67.131,65.725,13236572.163,18078,735365.12,2257,201392.368,104.191
116,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4314,5527,730,13.208,67.171,65.84,13267715.984,18091,737095.332,2255,201514.052,104.177
115,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4311,5523,731,13.236,67.053,67.729,13624268.829,18055,756903.824,2259,201159.215,104.154
114,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4313,5524,730,13.215,67.068,65.67,13212916.822,18061,734050.935,2257,201202.984,104.229
113,0,0,4312,5523,730,13.217,67.09,65.757,13234748.707,18069,735263.817,2255,201268.996,104.197,0,0,4298,5471,731,13.361,66.51,62.949,12560199.873,17915,697788.882,2253,199530.67,104.557
112,0,0,167,168,36,21.429,1.245,25.636,95774.883,532,5320.827,130,3735.9,115.991,0,0,167,168,36,21.429,1.241,25.78,95977.269,531,5332.07,129,3722.962,115.983
111,0,0,167,168,36,21.429,1.245,25.636,95774.883,532,5320.827,130,3735.9,115.991,0,0,177,181,42,23.204,1.375,27.698,114226.489,581,6345.916,137,4123.957,116.529
110,0,0,84,138,19,13.768,0.786,12.161,28667.332,390,1592.63,66,2357.314,113.847,0,0,86,140,20,14.286,0.797,12.075,28859.723,394,1603.318,67,2390.039,114.598
11,0,0,238,226,50,22.124,1.536,43.416,200084.835,677,11115.824,112,4608.579,114.6,0,0,242,230,52,22.609,1.555,43.317,202072.354,684,11226.242,113,4665.002,115.202
109,0,0,84,138,19,13.768,0.786,12.161,28667.332,390,1592.63,66,2357.314,113.847,0,0,86,140,20,14.286,0.797,12.075,28859.723,394,1603.318,67,2390.039,114.598
108,0,0,84,138,19,13.768,0.786,12.161,28667.332,390,1592.63,66,2357.314,113.847,0,0,86,140,20,14.286,0.797,12.075,28859.723,394,1603.318,67,2390.039,114.598
107,0,0,84,138,19,13.768,0.786,12.161,28667.332,390,1592.63,66,2357.314,113.847,0,0,86,140,20,14.286,0.797,12.075,28859.723,394,1603.318,67,2390.039,114.598
106,0,0,84,138,19,13.768,0.786,12.161,28667.332,390,1592.63,66,2357.314,113.847,0,0,86,140,20,14.286,0.797,12.075,28859.723,394,1603.318,67,2390.039,114.598
105,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,166,175,11,6.286,1.624,28.565,139146.508,775,7730.362,78,4871.187,93.873
104,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,166,175,11,6.286,1.624,28.565,139146.508,775,7730.362,78,4871.187,93.873
103,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,166,175,11,6.286,1.624,28.565,139146.508,775,7730.362,78,4871.187,93.873
102,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,166,175,11,6.286,1.624,28.565,139146.508,775,7730.362,78,4871.187,93.873
101,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,166,175,11,6.286,1.624,28.565,139146.508,775,7730.362,78,4871.187,93.873
100,0,0,163,173,11,6.358,1.597,29.149,139687.9,767,7760.439,76,4792.16,94.046,0,0,164,173,11,6.358,1.621,27.125,131899.787,767,7327.766,81,4862.665,94.242
10,0,0,238,226,50,22.124,1.536,43.416,200084.835,677,11115.824,112,4608.579,114.6,0,0,249,234,53,22.65,1.615,44.357,214889.022,709,11938.279,114,4844.519,114.693
1,0,0,125,119,17,14.286,0.888,12.965,34551.299,424,1919.517,78,2665.011,113.426,0,0,125,119,17,14.286,0.889,12.736,33960.831,423,1886.713,79,2666.499,113.485
